curveid,shape_id,X,Y
0,0,73,2
0,0,73,3
0,0,73,4
0,0,121,4
0,0,122,4
0,0,123,4
0,0,73,5
0,0,74,5
0,0,118,5
0,0,119,5
0,0,120,5
0,0,121,5
0,0,74,6
0,0,115,6
0,0,116,6
0,0,117,6
0,0,118,6
0,0,74,7
0,0,75,7
0,0,111,7
0,0,112,7
0,0,113,7
0,0,114,7
0,0,115,7
0,0,75,8
0,0,108,8
0,0,109,8
0,0,110,8
0,0,111,8
0,0,76,9
0,0,105,9
0,0,106,9
0,0,107,9
0,0,108,9
0,0,76,10
0,0,77,10
0,0,102,10
0,0,103,10
0,0,104,10
0,0,105,10
0,0,77,11
0,0,99,11
0,0,100,11
0,0,101,11
0,0,102,11
0,0,41,12
0,0,77,12
0,0,78,12
0,0,96,12
0,0,97,12
0,0,98,12
0,0,99,12
0,0,41,13
0,0,78,13
0,0,93,13
0,0,94,13
0,0,95,13
0,0,96,13
0,0,41,14
0,0,42,14
0,0,78,14
0,0,79,14
0,0,89,14
0,0,90,14
0,0,91,14
0,0,92,14
0,0,93,14
0,0,42,15
0,0,79,15
0,0,86,15
0,0,87,15
0,0,88,15
0,0,89,15
0,0,42,16
0,0,43,16
0,0,79,16
0,0,83,16
0,0,84,16
0,0,85,16
0,0,86,16
0,0,117,16
0,0,43,17
0,0,79,17
0,0,80,17
0,0,81,17
0,0,82,17
0,0,83,17
0,0,117,17
0,0,44,18
0,0,77,18
0,0,78,18
0,0,79,18
0,0,81,18
0,0,117,18
0,0,44,19
0,0,45,19
0,0,74,19
0,0,75,19
0,0,76,19
0,0,77,19
0,0,81,19
0,0,117,19
0,0,45,20
0,0,71,20
0,0,72,20
0,0,73,20
0,0,74,20
0,0,81,20
0,0,82,20
0,0,118,20
0,0,45,21
0,0,46,21
0,0,67,21
0,0,68,21
0,0,69,21
0,0,70,21
0,0,71,21
0,0,82,21
0,0,118,21
0,0,119,21
0,0,46,22
0,0,64,22
0,0,65,22
0,0,66,22
0,0,67,22
0,0,82,22
0,0,83,22
0,0,119,22
0,0,46,23
0,0,47,23
0,0,61,23
0,0,62,23
0,0,63,23
0,0,64,23
0,0,83,23
0,0,119,23
0,0,120,23
0,0,12,24
0,0,47,24
0,0,58,24
0,0,59,24
0,0,60,24
0,0,61,24
0,0,83,24
0,0,84,24
0,0,120,24
0,0,12,25
0,0,13,25
0,0,47,25
0,0,48,25
0,0,55,25
0,0,56,25
0,0,57,25
0,0,58,25
0,0,84,25
0,0,120,25
0,0,121,25
0,0,13,26
0,0,48,26
0,0,52,26
0,0,53,26
0,0,54,26
0,0,55,26
0,0,84,26
0,0,85,26
0,0,121,26
0,0,122,26
0,0,13,27
0,0,14,27
0,0,48,27
0,0,49,27
0,0,50,27
0,0,51,27
0,0,52,27
0,0,85,27
0,0,122,27
0,0,14,28
0,0,45,28
0,0,46,28
0,0,47,28
0,0,48,28
0,0,49,28
0,0,50,28
0,0,85,28
0,0,86,28
0,0,122,28
0,0,123,28
0,0,14,29
0,0,15,29
0,0,42,29
0,0,43,29
0,0,44,29
0,0,45,29
0,0,50,29
0,0,86,29
0,0,123,29
0,0,15,30
0,0,16,30
0,0,39,30
0,0,40,30
0,0,41,30
0,0,42,30
0,0,50,30
0,0,86,30
0,0,87,30
0,0,123,30
0,0,124,30
0,0,136,30
0,0,137,30
0,0,138,30
0,0,139,30
0,0,140,30
0,0,16,31
0,0,36,31
0,0,37,31
0,0,38,31
0,0,39,31
0,0,51,31
0,0,87,31
0,0,124,31
0,0,132,31
0,0,133,31
0,0,134,31
0,0,135,31
0,0,136,31
0,0,16,32
0,0,17,32
0,0,33,32
0,0,34,32
0,0,35,32
0,0,36,32
0,0,51,32
0,0,87,32
0,0,88,32
0,0,124,32
0,0,125,32
0,0,128,32
0,0,129,32
0,0,130,32
0,0,131,32
0,0,132,32
0,0,17,33
0,0,30,33
0,0,31,33
0,0,32,33
0,0,33,33
0,0,52,33
0,0,88,33
0,0,123,33
0,0,124,33
0,0,125,33
0,0,126,33
0,0,127,33
0,0,128,33
0,0,17,34
0,0,18,34
0,0,27,34
0,0,28,34
0,0,29,34
0,0,30,34
0,0,52,34
0,0,53,34
0,0,89,34
0,0,120,34
0,0,121,34
0,0,122,34
0,0,123,34
0,0,126,34
0,0,18,35
0,0,23,35
0,0,24,35
0,0,25,35
0,0,26,35
0,0,27,35
0,0,53,35
0,0,89,35
0,0,90,35
0,0,116,35
0,0,117,35
0,0,118,35
0,0,119,35
0,0,120,35
0,0,126,35
0,0,127,35
0,0,18,36
0,0,19,36
0,0,21,36
0,0,22,36
0,0,23,36
0,0,53,36
0,0,54,36
0,0,90,36
0,0,112,36
0,0,113,36
0,0,114,36
0,0,115,36
0,0,116,36
0,0,127,36
0,0,17,37
0,0,18,37
0,0,19,37
0,0,20,37
0,0,21,37
0,0,54,37
0,0,90,37
0,0,91,37
0,0,108,37
0,0,109,37
0,0,110,37
0,0,111,37
0,0,112,37
0,0,127,37
0,0,128,37
0,0,14,38
0,0,15,38
0,0,16,38
0,0,17,38
0,0,20,38
0,0,54,38
0,0,55,38
0,0,91,38
0,0,104,38
0,0,105,38
0,0,106,38
0,0,107,38
0,0,108,38
0,0,128,38
0,0,11,39
0,0,12,39
0,0,13,39
0,0,14,39
0,0,20,39
0,0,21,39
0,0,55,39
